Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
20.4,-5.6,15.34753641,75.09485949,46.29604124,-21.51974754
20.92525253,-5.235858586,15.28291735,73.94694195,46.28973009,-21.17906428
21.45050505,-4.871717172,15.21829829,72.79902442,46.28341893,-20.83838102
21.97575758,-4.507575758,15.15367923,71.65110688,46.27710778,-20.49769776
22.5010101,-4.143434343,15.08906017,70.50318934,46.27079662,-20.1570145
23.02626263,-3.779292929,15.02444111,69.35527181,46.26448547,-19.81633124
23.55151515,-3.415151515,14.95982205,68.20735427,46.25817431,-19.47564798
24.07676768,-3.051010101,14.89520299,67.05943673,46.25186316,-19.13496471
24.6020202,-2.686868687,14.83058393,65.9115192,46.24555201,-18.79428145
25.12727273,-2.322727273,14.76596487,64.76360166,46.23924085,-18.45359819
25.65252525,-1.958585859,14.70134581,63.61568413,46.2329297,-18.11291493
26.17777778,-1.594444444,14.63672675,62.46776659,46.22661854,-17.77223167
26.7030303,-1.23030303,14.57210769,61.31984905,46.22030739,-17.43154841
27.22828283,-0.866161616,14.50748863,60.17193152,46.21399623,-17.09086515
27.75353535,-0.502020202,14.44286957,59.02401398,46.20768508,-16.75018189
28.27878788,-0.137878788,14.37825051,57.87609644,46.20137393,-16.40949862
28.8040404,0.226262626,14.31363145,56.72817891,46.19506277,-16.06881536
29.32929293,0.59040404,14.24901239,55.58026137,46.18875162,-15.7281321
29.85454545,0.954545455,14.18439333,54.43234383,46.18244046,-15.38744884
30.37979798,1.318686869,14.11977427,53.2844263,46.17612931,-15.04676558
30.90505051,1.682828283,14.05515521,52.13650876,46.16981816,-14.70608232
31.43030303,2.046969697,13.99053615,50.98859123,46.163507,-14.36539906
31.95555556,2.411111111,13.92591709,49.84067369,46.15719585,-14.02471579
32.48080808,2.775252525,13.86129803,48.69275615,46.15088469,-13.68403253
33.00606061,3.139393939,13.79667897,47.54483862,46.14457354,-13.34334927
33.53131313,3.503535354,13.73205991,46.39692108,46.13826238,-13.00266601
34.05656566,3.867676768,13.66744085,45.24900354,46.13195123,-12.66198275
34.58181818,4.231818182,13.60282179,44.10108601,46.12564008,-12.32129949
35.10707071,4.595959596,13.53820273,42.95316847,46.11932892,-11.98061623
35.63232323,4.96010101,13.47358367,41.80525093,46.11301777,-11.63993296
36.15757576,5.324242424,13.40896462,40.6573334,46.10670661,-11.2992497
36.68282828,5.688383838,13.34434556,39.50941586,46.10039546,-10.95856644
37.20808081,6.052525253,13.2797265,38.36149833,46.0940843,-10.61788318
37.73333333,6.416666667,13.21510744,37.21358079,46.08777315,-10.27719992
38.25858586,6.780808081,13.15048838,36.06566325,46.081462,-9.936516658
38.78383838,7.144949495,13.08586932,34.91774572,46.07515084,-9.595833397
39.30909091,7.509090909,13.02125026,33.76982818,46.06883969,-9.255150135
39.83434343,7.873232323,12.9566312,32.62191064,46.06252853,-8.914466874
40.35959596,8.237373737,12.89201214,31.47399311,46.05621738,-8.573783613
40.88484848,8.601515152,12.82739308,30.32607557,46.04990622,-8.233100351
41.41010101,8.965656566,12.76277402,29.17815803,46.04359507,-7.89241709
41.93535354,9.32979798,12.69815496,28.0302405,46.03728392,-7.551733829
42.46060606,9.693939394,12.6335359,26.88232296,46.03097276,-7.211050567
42.98585859,10.05808081,12.56891684,25.73440542,46.02466161,-6.870367306
43.51111111,10.42222222,12.50429778,24.58648789,46.01835045,-6.529684044
44.03636364,10.78636364,12.43967872,23.43857035,46.0120393,-6.189000783
44.56161616,11.15050505,12.37505966,22.29065282,46.00572814,-5.848317522
45.08686869,11.51464646,12.3104406,21.14273528,45.99941699,-5.50763426
45.61212121,11.87878788,12.24582154,19.99481774,45.99310584,-5.166950999
46.13737374,12.24292929,12.18120248,18.84690021,45.98679468,-4.826267738
46.66262626,12.60707071,12.11658342,17.69898267,45.98048353,-4.485584476
47.18787879,12.97121212,12.05196436,16.55106513,45.97417237,-4.144901215
47.71313131,13.33535354,11.9873453,15.4031476,45.96786122,-3.804217954
48.23838384,13.69949495,11.92272624,14.25523006,45.96155007,-3.463534692
48.76363636,14.06363636,11.85810718,13.10731252,45.95523891,-3.122851431
49.28888889,14.42777778,11.79348812,11.95939499,45.94892776,-2.782168169
49.81414141,14.79191919,11.72886906,10.81147745,45.9426166,-2.441484908
50.33939394,15.15606061,11.66425,9.663559916,45.93630545,-2.100801647
50.86464646,15.52020202,11.59963094,8.515642379,45.92999429,-1.760118385
51.38989899,15.88434343,11.53501188,7.367724843,45.92368314,-1.419435124
51.91515152,16.24848485,11.47039282,6.219807307,45.91737199,-1.078751863
52.44040404,16.61262626,11.40577376,5.07188977,45.91106083,-0.738068601
52.96565657,16.97676768,11.3411547,3.923972234,45.90474968,-0.39738534
53.49090909,17.34090909,11.27653564,2.776054697,45.89843852,-0.056702079
54.01616162,17.70505051,11.21191658,1.628137161,45.89212737,0.283981183
54.54141414,18.06919192,11.14729752,0.480219625,45.88581621,0.624664444
55.06666667,18.43333333,11.08267846,-0.667697912,45.87950506,0.965347706
55.59191919,18.79747475,11.0180594,-1.815615448,45.87319391,1.306030967
56.11717172,19.16161616,10.95344034,-2.963532985,45.86688275,1.646714228
56.64242424,19.52575758,10.88882128,-4.111450521,45.8605716,1.98739749
57.16767677,19.88989899,10.82420223,-5.259368057,45.85426044,2.328080751
57.69292929,20.2540404,10.75958317,-6.407285594,45.84794929,2.668764012
58.21818182,20.61818182,10.69496411,-7.55520313,45.84163813,3.009447274
58.74343434,20.98232323,10.63034505,-8.703120666,45.83532698,3.350130535
59.26868687,21.34646465,10.56572599,-9.851038203,45.82901583,3.690813796
59.79393939,21.71060606,10.50110693,-10.99895574,45.82270467,4.031497058
60.31919192,22.07474747,10.43648787,-12.14687328,45.81639352,4.372180319
60.84444444,22.43888889,10.37186881,-13.29479081,45.81008236,4.712863581
61.36969697,22.8030303,10.30724975,-14.44270835,45.80377121,5.053546842
61.89494949,23.16717172,10.24263069,-15.59062588,45.79746005,5.394230103
62.42020202,23.53131313,10.17801163,-16.73854342,45.7911489,5.734913365
62.94545455,23.89545455,10.11339257,-17.88646096,45.78483775,6.075596626
63.47070707,24.25959596,10.04877351,-19.03437849,45.77852659,6.416279887
63.9959596,24.62373737,9.984154448,-20.18229603,45.77221544,6.756963149
64.52121212,24.98787879,9.919535389,-21.33021357,45.76590428,7.09764641
65.04646465,25.3520202,9.854916329,-22.4781311,45.75959313,7.438329671
65.57171717,25.71616162,9.790297269,-23.62604864,45.75328198,7.779012933
66.0969697,26.08030303,9.725678209,-24.77396618,45.74697082,8.119696194
66.62222222,26.44444444,9.66105915,-25.92188371,45.74065967,8.460379456
67.14747475,26.80858586,9.59644009,-27.06980125,45.73434851,8.801062717
67.67272727,27.17272727,9.53182103,-28.21771878,45.72803736,9.141745978
68.1979798,27.53686869,9.46720197,-29.36563632,45.7217262,9.48242924
68.72323232,27.9010101,9.402582911,-30.51355386,45.71541505,9.823112501
69.24848485,28.26515152,9.337963851,-31.66147139,45.7091039,10.16379576
69.77373737,28.62929293,9.273344791,-32.80938893,45.70279274,10.50447902
70.2989899,28.99343434,9.208725731,-33.95730647,45.69648159,10.84516229
70.82424242,29.35757576,9.144106672,-35.105224,45.69017043,11.18584555
71.34949495,29.72171717,9.079487612,-36.25314154,45.68385928,11.52652881
71.87474747,30.08585859,9.014868552,-37.40105908,45.67754812,11.86721207
72.4,30.45,8.950249492,-38.54897661,45.67123697,12.20789533
